功夫3D	功夫
80后	无痛
李小龙	李小龙我的兄弟
少年李小龙	李小龙我的兄弟
李小龙，我的兄弟	李小龙我的兄弟
硬汉之爱情保卫战	硬汉2：奉陪到底
西游新传：大电影	西游新传
玩家一号	头号玩家
挑战者1号(港)	头号玩家
一级玩家(台)	头号玩家
一号玩家	头号玩家
其后 After All These Years	其后
他说爱	激浪青春
飞跃绝境	飞越绝境
举起手来（之二）：追击阿多丸	举起手来2：追击阿多丸号
媚影俠蹤	媚影侠踪
第五次元(港)	时间的皱折
时间的皱纹	时间的皱折
奇幻时空历险	时间的皱折
梅格时空大冒险	时间的皱折
手拉手	我们手拉手
玩命·时光	玩命时光
同谋者	武侠
法海:白蛇传说(台)	白蛇传说
白蛇传说之法海(港)	白蛇传说
‎法海	白蛇传说
草原小英雄	巴特拉尔传说
春滋味	大劫难
十一朵鲜花	我11
我十一	我11
奋斗 电影版	奋斗
奋斗2011	奋斗
麵引子	面引子
新康定情歌	康定情歌
如烟往事	幻影
飞行器	梦幻飞琴
黃埔軍魂	黄埔军魂
晶体Ⅱ	晶体2
功夫咏春	功夫·咏春
最强喜事	最强囍事
流光速	极速天使
剩男剩女	缘来是咱俩
倮恋	倮·恋
静电影《初见》篇章二《子非鱼》	初见：子非鱼
异度危情	异空危情
燃情世界杯	追踪章鱼保罗
谋杀章鱼保罗	追踪章鱼保罗
兩個女孩一間房	魔法迷失
恋爱吧	跟我的前妻谈恋爱
翻叮我老婆	跟我的前妻谈恋爱
泡芙小姐的金鱼缸	11度青春之《泡芙小姐的金鱼缸》
楚汉争霸	西楚霸王II
西楚霸王II	西楚霸王II
西楚霸王下	西楚霸王II
芦笛舞曲	首席
决不言弃	幸存日
投篮者	特别的爱
少女时代	我的少女时代
波希米亚狂想曲(台)	波西米亚狂想曲
波希米亚狂想曲：摇滚传说(港)	波西米亚狂想曲
大宅门 电影版	大宅门
西游·降魔篇	西游降魔篇
大话西游之除魔传奇	西游降魔篇
除魔传奇	西游降魔篇
三藏伏魔	西游降魔篇
西游	西游降魔篇
风流奇侠	龙朝凤
谍战揭密：十九集大型历史纪录片	纪实：档案--谍战揭密
人间草木—打一字	人间草木
大闹天宫3D版	西游记之大闹天宫
守兵衛	守兵卫
未来战士	守兵卫
超音速刑警	车手
美丽谎言(港)	幸福卡片
三十三张明信片	幸福卡片
第十三号子弹	13号子弹
天劫：救赎之战(台)	天际浩劫2
天凶之城：末日救赎(港)	天际浩劫2
当福音再临(台)	到来的主日
镖行天下前传3	镖行天下前传之库丁之谜
北魏传奇之悲情英雄	北魏传奇
胡笳汉月	北魏传奇
北魏传奇1	北魏传奇
无极限	无极限之危情速递
兔侠	兔侠传奇
决战浦东·1949	铁血奇兵
北魏传奇之爱归五胡沧海情	北魏传奇之4
水浒人物谱之杨雄与石秀	杨雄与石秀
醒世恒言之黄秀才徼灵玉马坠	玉马坠
侠侣探案系列杜鹃啼血	侠侣探案系列之杜鹃啼血
侠侣探案系列名苑斜阳	侠侣探案系列之名苑斜阳
侠侣探案系列绝命黄历	侠侣探案系列之绝命黄历
侠侣探案2	侠侣探案系列之书生之死
侠侣探案之商女梦断	侠侣探案系列之商女梦断
侠侣探案8	侠侣探案系列之特使失踪
秘密人：今日我下机关，明日我上天曹	秘密人
车站	車站
机械城堡,一个魔方引起的故事	机械迷城
侠侣探案1	侠侣探案系列之寿筵丧钟
一月的追踪者	小城之冬
宅男总动员：女神归来	宅男总动员
宅男女神	宅男总动员
沙门空海	妖猫传
沙门空海之大唐鬼宴	妖猫传
大唐鬼宴	妖猫传
空海	妖猫传
空海 KU-KAI 美しき王妃の謎	妖猫传
沙門空海唐の国にて鬼と宴す	妖猫传
如果	爱
爱情不在服务区	爱
侠侣探案3	侠侣探案系列之晓风残月
掐死你的温柔	火药牌女友
大学哭过 笑过	那时的他们
笑过，哭过，我们都经历过	那时的他们
镖行天下前传2	镖行天下前传之至尊国宝
镖行天下前传5	镖行天之前传之漠上风云
镖行天下前传4	镖行天下前传之虎口夺镖
镖行天下前传7	镖行天下前传之编外人选
镖行天下前传6	镖行天下前传之燃眉危机
镖行天下前传之烽火三千里	镖行天下前传之烽火辽东
镖行天下前传之亡命天涯	镖行天下前传之决战天涯
大汉风之英雄美人	英雄美人
天机(港)	天机·富春山居图
富春山居图	天机·富春山居图
喜羊羊与灰太狼3	喜羊羊与灰太狼之兔年顶呱呱
亡命琴师	命系琴弦
西京囧事	哥的传说
回忆之前忘记之后	回忆之前，忘记之后
老夫子	老夫子之小水虎传奇
《大笑江湖》纪录片	江湖啊江湖
国产雪蛤威龙	霹雳神鹰
钢琴密码	钢琴木马
钢琴密码之骇客公敌	钢琴木马
草莓100%	草莓百分百
操盘风云2	窃听风云2
我与我的影子	我和我的影子
震撼擂台(台)	铁拳
再战击情(港)	铁拳
左撇子	铁拳
离骚II：A Personal Statement of Growth	离骚II：关于成长的个人陈述
热恋岛	热爱岛
鸿门宴	鸿门宴传奇
童话	都市童话
乘着歌声的翅膀	歌声的翅膀
黑客帝国3.0	黑客悲情
与妻书	百年情书
王牌巨猩(台)	大明猩
超级巨猩(港)	大明猩
棒球明猩	大明猩
女生日记	清青年华
21红色名单	亲恩国仇
寒假不冷	老妈你真烦
胡力吐	沉默的荣誉
山边那朵云	天边的云
密室2	密室之不可靠岸
聊斋。侠女	侠女
卡酷动画春晚	2011BTV卡酷动画春晚
英雄血	歧路英雄
說好不管我	说好不管我
水浒人物谱之入云龙公孙胜	入云龙公孙胜
the summer（英）	被风吹过的夏天
冠军宝贝之无价之宝	无价之宝
举起手来三部曲之一	飞虎群英
高海拔之恋2	高海拔之恋Ⅱ
如果遇见 Shutter Love	如果遇见
如果见，请深见...	如果遇见
水浒人物谱之鼓上蚤时迁	鼓上蚤时迁
水浒人物谱之神偷时迁	鼓上蚤时迁
神偷时迁	鼓上蚤时迁
杨贵妃	王朝的女人·杨贵妃
盛唐危机	王朝的女人·杨贵妃
一门忠烈杨家将	忠烈杨家将
杨家将	忠烈杨家将
太极	太极1：从零开始
太极之从零开始	太极1：从零开始
狄仁杰前传	狄仁杰之神都龙王
虎头要塞：细菌	虎头要塞之细菌
国父孙中山	第一大总统
谋士范增	大汉风之谋士范增
石溪三部曲之三不如归去	不如归去
红风筝	明天我要升国旗
日照512	日照好人
温故1942	一九四二
温故一九四二	一九四二
厨戏痞	厨子戏子痞子
厨子·戏子·痞子	厨子戏子痞子
虎烈拉	厨子戏子痞子
超蛙战士	超蛙战士之威武教官
被遗忘的水彩画	蜡笔和小新的故事
蔡李佛：极限拳速	蔡李佛
蔡李佛：铁拳2010	蔡李佛
相隔一座城	电话厅情缘
饮食男女2012	饮食男女-好远又好近
好近又好远	饮食男女-好远又好近
从今以后(2002)	从今以后
赛尔号	赛尔号大电影之寻找凤凰神兽
赛尔号大电影：寻找凤凰神兽	赛尔号大电影之寻找凤凰神兽
甲午大海战	一八九四·甲午大海战
1894·甲午大海战	一八九四·甲午大海战
黄金谜案	黄金大劫案
濠河女人	濠河边上的女人
鸣沙山	大漠追艳
黑风血雨	我的爱对你说
妈妈没走远	妈妈没有走远
成都的冬天不太冷	情遇成都
时尚达人	与时尚同居
戈蒂传	高蒂传
约翰·高蒂的生与死	高蒂传
高蒂家族：父影之下	高蒂传
高蒂：三代人	高蒂传
雅痞教父高蒂一家人	高蒂传
边城往事	乌鲁木齐的天空
三十七号大院	乌鲁木齐的天空
同一屋檐下	乌鲁木齐的天空
乌鲁木齐	乌鲁木齐的天空
水中的恋人	摆手舞之恋
夜店鬼谈	夜店诡谈
夜店怪谈	夜店诡谈
阿曼尼莎罕	阿曼尼萨罕
你以为你是谁	家事
光辉岁月之再见理想	岁月无声
随子弹去	一步之遥
追踪1921	沪上风云
地下爱情	野草莓
惊悚之夜	水落石出
回家	民工回家
在路上	我在路上最爱你
三日三夜	我在路上最爱你
DV 爱情 夏天	DV·爱情·夏天
自由ヶ丘	自由之丘
雨一直下	新妈妈再爱我一次
命运讯号	昆明讯号
虫虫幻想曲	亲亲我
贞观家事	三哭殿
我电你	爱封了
少林寺之佛魔之间	佛魔之剑
票风	飘
春嬌與志明	春娇与志明
志明与春娇2	春娇与志明
黑社会太美丽	给野兽献花
西柏坡的故事	西柏坡
有诚可扰-纪念我们心中那个红裙姑娘	有诚可扰
热血传奇	赛车传奇
虎头要塞：图纸	虎头要塞之图纸
再别故乡	离离旧忆
東京に来たばかり	初到东京
虎头要塞：假如明天来临	虎头要塞之假如明天来临
虎头要塞：谎言	虎头要塞之谎言
虎头要塞：蓝色七号	虎头要塞之蓝色七号
影子愛人	影子爱人
影子情人	影子爱人
再说一次我爱你	影子爱人
虎头要塞：最后决战	虎头要塞之最后决战
离骚3：Sweets and Pains	离骚终结篇
虎头要塞：牺牲	虎头要塞之牺牲
贾晋蜀	人民艺术家
上海1925	先驱者
黄金岛	北角
夏日么么茶2	夏日乐悠悠
领袖情怀	情怀
文建明	头等大事
爱·不爱	一夜未了情
洛克王国！圣龙骑士	洛克王国之圣龙骑士
潜舰猎杀令(台)	冰海陷落
猎人杀手	冰海陷落
飞毛腿的夏天	足球小子飞毛腿
关爱——严冬里的春天	严冬里的春天
严冬里的春天之人间有情+严冬里的春天之情归何处	严冬里的春天
凯撒音乐电影	凯撒
明日に架ける愛	通往明日之爱
架向明天的爱	通往明日之爱
通往明日的爱	通往明日之爱
五道弯	紫石峪
共和国名将·刘昌毅决战宿县	刘昌毅决战宿县
白衣将军孙仪之	四平保卫战中的白衣将军孙仪之
假如我是你	变身男女
共和国名将·杨勇战鲁西	杨勇战鲁西
李逵传奇	黑旋风李逵
水浒人物谱之晁盖	晁盖
水浒人物谱之鬼脸儿杜兴	鬼脸儿杜兴
水浒人物谱之安道全与王定六	安道全与王定六
明月	明月在心
观觉寺	月夜观觉寺
秦时明月3D电影龙腾万里	秦时明月之龙腾万里
秦时明月大电影之龙腾万里	秦时明月之龙腾万里
断了片	醉后一夜
良家妇女被枪记(豆友译名)	许鏐抢亲记
软件，我爱你	如果
极峰迷情	命运有数
愛	爱
狂奔的蚂蚁	狂奔蚂蚁
疯狂的蚂蚁	狂奔蚂蚁
重庆 音乐	吴昊昊
子弹情人	子弹情侣
说你爱我	有人拉屋米
好汉花龙	好汉花荣
海洋大队	海鲜陆战队
海鲜	海鲜陆战队
朱莉的陆地大冒险	海鲜陆战队
极恋	东极之恋
英雄·喋血	英雄喋血
女蛹之人皮嫁衣	女蛹
丢失的学生证	四年一梦
新地道战2之父子奇兵	新地道战2
水浒人物谱之赤发鬼刘唐	赤发鬼刘唐
双殊泪	双姝血案
芙蓉雀	夫仇记
迷宅	替身情缘
檀香谜案	檀香迷案
王刚讲故事之千金绑架案	千金绑架案
灰姑娘	宋朝灰姑娘
烟雨俚歌	芦花寨
双生花	残梦
一天的英雄	364天
“美蒋特务”孙水胤的后现代生活	特务孙水胤的后现代生活
三言二拍之金玉奴	金玉奴
闯堂兔大电影	闯堂兔
五星上将	铁血娇娃
铁血娇娃之丛林日记	铁血娇娃
男女关系之密语(台)	母语
我叫小马	幸福59厘米之小马
跑酷：战胜你的恐惧	极速先锋
3D极速先锋	极速先锋
穿透高墙的阳光	警戒线
别闹，改日	幸福59厘米之别闹，改日
孔庆德护送卡尔逊	孔庆德生死护送卡尔逊
疯狂老人院	飞越老人院
乔迁之喜	房不胜防
八星报喜2012	八星抱喜
家有喜事2012	八星抱喜
新八星报喜	八星抱喜
美国特工(港)	美国刺客
裸爱杀机(台)	丽兹
丽兹·波顿	丽兹
梦断影都	游坞惊梦
月光井	女人如花
绝恋	女人如花
2次曝光	二次曝光
兔子镇的火狐狸之狐狸特工	兔子镇的火狐狸
第一季	微博有鬼
微博有鬼I	微博有鬼
冬天里的绿萝花	合居情缘
长城外面是故乡	追爱
帮我找到张秀倩	追爱
寒戰	寒战
Cold War 香港警察 两种正义(日)	寒战
海岛乐园	请叫我英雄
情归延安	窑洞小学
上善若水2你在哪里	你在哪里
炼狱里的阳光	阳光总在风雨后
柠檬缘	柠檬
知了的夏天	原谅我，来不及爱你
陇南往事	两当兵变
寶島雙雄	宝岛双雄
大武当	大武当之天地密码
霹靂戰士	霹雳战士
青春期2	青春失乐园
同桌的你	不羁的青春
我们的从前	不羁的青春
温哥华乐与路	温哥华酱油乐队
美国城	纽约客@上海
致青春	致我们终将逝去的青春
冰封侠：重生之门(港)	冰封：重生之门
急冻行者(台)	冰封：重生之门
3D冰封侠	冰封：重生之门
少年岳飞	自古英雄出少年之岳飞
纯真时代	纯真年代
非常完美2	非常幸运
情謎	情谜
孪爱	情谜
卵と石	鸡蛋和石头
奇案风云之消失的子弹	消失的子弹
暴力营救	危情营救
虎穴	不再沉睡
衝上雲霄	冲上云霄
冲上云霄电影版	冲上云霄
花漾：盗伎传奇	花漾
蓝色七星湖	蓝色的七星湖
魁拔II	魁拔之大战元泱界
魁拔2	魁拔之大战元泱界
一個女工的故事	一个女工的故事
守诛人	守株人
前任告急	房车奇遇
变形金刚：歼灭世纪(港)	变形金刚4：绝迹重生
变形金刚4：灭绝时代	变形金刚4：绝迹重生
变形金刚4	变形金刚4：绝迹重生
变4	变形金刚4：绝迹重生
济南路8号	绝录求生
喜羊羊与灰太狼4	喜羊羊与灰太狼之开心闯龙年
疾速救援(台)	通勤营救
追命列车(港)	通勤营救
水浒人物谱之双鞭呼延灼	双鞭呼延灼
2012我愛HK 喜上加囍	2012喜上加喜
我爱香港2	2012喜上加喜
我爱香港救地球	2012喜上加喜
箭客柳白猿	箭士柳白猿
毒戰	毒战
破冰	毒战
春天花会开	魂系红领巾
涩女郎电影版：男生女生骗	粉红女郎之爱人快跑
粉红女郎电影版	粉红女郎之爱人快跑
金童玉女	绝命藏宝图
阿兰	墨香天使
武當少年	武当少年
梦幻童年	武当少年
谜	浮城谜事
侏罗纪公园4	侏罗纪世界
冯友兰	青年冯友兰
3D诡婚	诡婚
重归大海	重返大海
战争巫师	战争魔术师
麻局	局中局
当孙悟空遇上蜘蛛侠	孙子从美国来
海上情谜(台)	秘密分享者
谎言荒原	猪离开了它的外套
盗中道	疯狂的蠢贼
阿里郎	平壤之约
冷瞳·贞子再现	冷瞳
给你点儿颜色	关于爱情和那些魔鬼
泊車殿下	泊车殿下
蓝雪花	迷失的精灵
迷失	迷失的精灵
双节棍	双截棍
诸事不宜	四戒
匹夫们的战争	匹夫
匹夫有责	匹夫
水浒人物谱之金毛犬段景住	金毛犬段景住
女留学生之迷失废都	家庭计划
五指山之恋	我爱五指山
何班主与他的情人	何班主和他的情人
千里渡江第一船	渡江！渡江！
渡江渡江	渡江！渡江！
百万巨鳄追缉令	百万巨鳄
抗美援朝	北纬三十八度
中国1949	中国·1949
中国——1949	中国·1949
局外人	外来者
风水	万箭穿心
一代跤王	宗师卜六
少年侯德榜传奇	少年侯德榜
美版大逃杀	大逃杀(美版)
诡先生	怖偶
爱，回家	都市有情天
穿过爱情的漫长旅程	黄金时代
萧红传	黄金时代
吉星厨神(港)	花样厨神
厨房故事	花样厨神
XX计划	X计划2
非常之戀	非常之恋
非常盗	月色狰狞
廢棄之城	废弃之城
孙立智取祝家庄	病尉迟孙立
水浒人物谱之病尉迟孙立	病尉迟孙立
擒爱记：回收女人心	擒爱记
熟女日记	擒爱记
盛开的向日葵	幸福的向日葵
亲爱	亲·爱
相信爱	初恋浅规则
幸福	幸福迷途
聊斋狐仙	狐仙
太极2	太极2：英雄崛起
太极之英雄崛起	太极2：英雄崛起
美丽有缘	北京遇上西雅图
情定西雅图	北京遇上西雅图
泰囧	人再囧途之泰囧
人在囧途2	人再囧途之泰囧
组织部长	公道天职
燃3	燃3之燃烧殆尽的青春
喜羊羊与灰太狼暑期大电影	我爱灰太狼
喜羊羊与灰太狼真人大电影	我爱灰太狼
文字国历险记：浩昊大闹文字城	文字国历险记之浩昊大闹文字城
高高的瞭望塔	老哨卡
北纬52度	老哨卡
今天明天	今天·明天
浮城	浮城大亨
百年浮城	浮城大亨
罗布泊	生死罗布泊
美丽不瘦	瘦身魔方之美丽不瘦
我和拉拉	我与拉拉
猪猪侠大电影	猪猪侠之囧囧危机
劫假日	地域无门
控城计	控制
空城计	控制
惡戰	恶战
上海滩马永贞	恶战
四大名捕3	四大名捕大结局
下集	上海滩
贵族	私人订制
男人如衣	男人如衣服
同謀	同谋
